Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
4. Destructuring	![Destructuring](https://i.imgur.com/eDY2iec.png)	Editorial		[]	false	[]	6
2. Classes	![Classes](https://i.imgur.com/dssBgCA.png)	Editorial		[]	false	[]	7
Hi	Hey! Welcome to React QnA bot. I have notes on the following topics:	Editorial		[]	false	[{"displayOrder":0,"qnaId":14,"displayText":"1. Review"},{"displayOrder":0,"qnaId":11,"displayText":"2. Next Gen JS"},{"displayOrder":0,"qnaId":24,"displayText":"3. Base Features & Syntax"},{"displayOrder":0,"qnaId":39,"displayText":"98. Random Facts"},{"displayOrder":0,"qnaId":33,"displayText":"99. Random Questions"},{"displayOrder":0,"qnaId":36,"displayText":"100. Algo & Data"}]	8
1. Exports and Imports	![Exports and Imports](https://i.imgur.com/ltMe2zC.png)	Editorial		[]	false	[]	9
3. Rest and Spread Operators	![Rest and Spread](https://i.imgur.com/ZemMw0C.png)	Editorial		[]	false	[]	10
2. Next Gen JS	Following topics are covered under Next Gen JS:	Editorial		[]	false	[{"displayOrder":0,"qnaId":9,"displayText":"1. Exports and Imports"},{"displayOrder":0,"qnaId":7,"displayText":"2. Classes"},{"displayOrder":0,"qnaId":10,"displayText":"3. Rest and Spread Operators"},{"displayOrder":0,"qnaId":6,"displayText":"4. Destructuring"}]	11
Things to remember	Topics as follow (Things to remember):	Editorial		[]	false	[]	12
1. Reference Types	Non-Primitive types, like Objects, are stored in memory and their identifiers simply point to that place place in memory. To copy over the properties use spread technique: ![spreadForImmutabilityInObjects](https://i.imgur.com/tsqT6sj.png)	Editorial		[]	false	[]	13
1. Review	Following topics are covered under Review Section:	Editorial		[]	false	[{"displayOrder":0,"qnaId":13,"displayText":"1. Reference Types"},{"displayOrder":0,"qnaId":16,"displayText":"2. All Array Functions"}]	14
2. All Array Functions	JavaScript array functions like `map()` , `filter()` , `reduce()` etc. can be beneficial since a lot of React concepts rely on working with arrays (in immutable ways). \n\nDocumentation links: \n[`map()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map) [`find()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/find) [`findIndex()` ](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/findIndex) [`filter()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/filter)  [`reduce()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/Reduce?v=b) [`concat()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/concat?v=b) [`slice()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/slice) [`splice()`](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/splicetest)\n\nClick for example code:	Editorial		[]	false	[{"displayOrder":0,"qnaId":17,"displayText":".map()"},{"displayOrder":0,"qnaId":18,"displayText":".find()"},{"displayOrder":0,"qnaId":19,"displayText":".findIndex()"},{"displayOrder":0,"qnaId":20,"displayText":".reduce()"},{"displayOrder":0,"qnaId":21,"displayText":".concat()"},{"displayOrder":0,"qnaId":22,"displayText":".slice()"},{"displayOrder":0,"qnaId":23,"displayText":".splice()"}]	16
.map()	```javascript\nvar array1 = [1, 4, 9, 16];\n\n// pass a function to map\nconst map1 = array1.map(x => x * 2);\n\nconsole.log(map1);\n// expected output: Array [2, 8, 18, 32]\n```	Editorial		[]	false	[]	17
.find()	```javascript\nvar array1 = [5, 12, 8, 130, 44];\n\nvar found = array1.find(function(element) {\n  return element > 10;\n});\n\nconsole.log(found);\n// expected output: 12\n```	Editorial		[]	false	[]	18
.findIndex()	```javascript\nvar array1 = [5, 12, 8, 130, 44];\n\nfunction isLargeNumber(element) {\n  return element > 13;\n}\n\nconsole.log(array1.findIndex(isLargeNumber));\n// expected output: 3\n```	Editorial		[]	false	[]	19
.reduce()	```javascript\nconst array1 = [1, 2, 3, 4];\nconst reducer = (accumulator, currentValue) => accumulator + currentValue;\n\n// 1 + 2 + 3 + 4\nconsole.log(array1.reduce(reducer));\n// expected output: 10\n\n// 5 + 1 + 2 + 3 + 4\nconsole.log(array1.reduce(reducer, 5));\n// expected output: 15\n```	Editorial		[]	false	[]	20
.concat()	```javascript\nvar array1 = ['a', 'b', 'c'];\nvar array2 = ['d', 'e', 'f'];\n\nconsole.log(array1.concat(array2));\n// expected output: Array ["a", "b", "c", "d", "e", "f"]\n```	Editorial		[]	false	[]	21
.slice()	```javascript\nvar animals = ['ant', 'bison', 'camel', 'duck', 'elephant'];\n\nconsole.log(animals.slice(2));\n// expected output: Array ["camel", "duck", "elephant"]\n\nconsole.log(animals.slice(2, 4));\n// expected output: Array ["camel", "duck"]\n\nconsole.log(animals.slice(1, 5));\n// expected output: Array ["bison", "camel", "duck", "elephant"]\n```	Editorial		[]	false	[]	22
.splice()	```javascript\nvar months = ['Jan', 'March', 'April', 'June'];\nmonths.splice(1, 0, 'Feb');\n// inserts at index 1\nconsole.log(months);\n// expected output: Array ['Jan', 'Feb', 'March', 'April', 'June']\n\nmonths.splice(4, 1, 'May');\n// replaces 1 element at index 4\nconsole.log(months);\n// expected output: Array ['Jan', 'Feb', 'March', 'April', 'May']\n```	Editorial		[]	false	[]	23
